fig_num,name,num_parts
fig-000001,Toy Store Employee,4
fig-000002,Customer Kid,4
fig-000003,Assassin Droid,8
fig-000004,Basic Figure,4
fig-000005,Captain America with Short Legs,3
fig-000006,Lloyd Avatar,5
fig-000007,Lloyd / Digi Lloyd,5
fig-000008,Wonder Woman,4
fig-000009,The Flash,4
fig-000010,Batman,5
fig-000011,Captain Cold,4
fig-000012,Truck Driver,4
fig-000013,Gorilla Grodd,5
fig-000014,Batgirl,5
fig-000015,Sir Fangar,7
fig-000016,Stealthor,6
fig-000017,Gorzon,6
fig-000018,Alien,3
fig-000019,"UFO Alien, Blue",5
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",5
fig-000021,Krusty the Clown (CMF),3
fig-000022,Chicken Suit Guy,4
fig-000023,Warrior Woman,4
fig-000024,Race Car Driver,6
fig-000025,Conquistador,5
fig-000026,Firox,10
fig-000027,"UFO Alien, Red",5
fig-000028,Hulk,4
fig-000029,"Harry Potter, Open Dark Blue Jacket over White Shirt, Dark Bluish Gray Legs",4
fig-000030,Space Police II,6
fig-000031,Minifig from 8804-9,4
fig-000032,Batman,5
fig-000033,Minifig from 31025-1,4
fig-000034,Aquanaut 2,7
fig-000035,Milhouse Van Houten (CMF),3
fig-000036,Minifig from 8804-16,4
fig-000037,Pop Star (CMF),4
fig-000038,"Woman, Dark Bluish Gray Jacket with Magenta Scarf, White Legs",4
fig-000039,Minifig from 645-1,4
fig-000040,Minifig from 6627-1,4
fig-000041,Minifig from 71005-10,3
fig-000042,Ralph Wiggum (CMF),3
fig-000043,Dr. Kilroy in Dark Gray Suit,4
fig-000044,Minifig from 3584-1,3
fig-000045,Minifig from 7907-23,4
fig-000046,Surfer (CMF),4
fig-000047,Minifig from 71001-5,4
fig-000048,Minifig from 7907-5,4
fig-000049,LEGO Store Employee,4
fig-000050,Apu Nahasapeemapetilon (CMF),3
fig-000051,"Worker - Orange Overall, Blue Torso, Red Helmet",4
fig-000052,"Policeman, Black Suit with Badge, White Hat, Scowl",4
fig-000053,"Pirate - Blue Jacket, Black Legs, Brown Tricorne",4
fig-000054,Clone Pilot with Plain Black Head,4
fig-000055,Itchy,3
fig-000056,Clone Trooper Lieutenant,4
fig-000057,Archer (Fright Knights),5
fig-000058,Clone Trooper (Episode 2),4
fig-000059,Minifig from 7907-20,4
fig-000060,Edna Krabappel (CMF),4
fig-000061,Blacktron II - 3626a Head,6
fig-000062,Blacktron II - 3626b Head,6
fig-000063,Scratchy (CMF),4
fig-000064,Clone Trooper with Dark Red Markings (Episode 3),4
fig-000065,M:Tron,6
fig-000066,Minifig from 71000-1,4
fig-000067,"Man, Green V-Neck Sweater, Light Bluish Gray Legs, Beard",4
fig-000068,Chief Wiggum (CMF),3
fig-000069,"Ninja, White",4
fig-000070,Space Police I,6
fig-000071,Exploriens Droid with Helmet,5
fig-000072,"Knight (Breastplate on Black) - Black Legs, Armor, Red Dragon Plume",9
fig-000073,"Chef, Red Neckerchief, Light Bluish Gray Legs, Beard",4
fig-000074,Minifig from 6564-1,4
fig-000075,"Stormtrooper with Plain Black Head, and Pauldron and Neck Bracket",6
fig-000076,"Futuron Spaceman, Black with Airtanks and Dark Blue Visor",6
fig-000077,Minifig from 30000-1,4
fig-000078,Nute Gunray,4
fig-000079,Minifig from 3069-1,5
fig-000080,Minifig from 71002-3,5
fig-000081,Waylon Smithers (CMF),3
fig-000082,Minifig from 71002-8,3
fig-000083,Fangdam,3
fig-000084,Minifig from 4150-1,4
fig-000085,Minifig from 8357-1,5
fig-000086,"UFO Droid, Blue",3
fig-000087,Minifig from 4900-1,5
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6
fig-000089,Minifig from 71007-4,4
fig-000090,Minifig from 5621-1,5
fig-000091,"Snowtrooper with Light Bluish Gray Hips, White Hands with Balaclava Head",4
fig-000092,Marsha Queen of the Mermaids (CMF),4
fig-000093,Ogel with Trans-red Hook,6
fig-000094,Dr. Hibbert (CMF),3
fig-000095,Minifig from 7907-8,4
fig-000096,Dash with Black Flippers,8
fig-000097,Minifig from 4818-1,4
fig-000099,Minifig from 6463-1,5
fig-000100,Minifig from 6648-2,4
fig-000101,Minifig from 7687-22,5
fig-000102,Minifig from 6452-1,4
fig-000103,Minifig from 6465-1,5
fig-000104,Minifig from 6604-1,4
fig-000105,"Spaceman, Doc",5
fig-000106,"Blacktron II - Jetpack, 3626a Head",8
fig-000107,"Blacktron II - Jetpack, 3626b Head",8
fig-000108,Minifig from 30002-1,4
fig-000109,Cole (The Golden Weapons),4
fig-000110,Minifig from 71000-12,4
fig-000111,Zane DX,4
fig-000112,LEGOLAND Red with Black hat,4
fig-000113,Ice Planet - White Hair,6
fig-000114,Spyrius,6
fig-000115,TC-4,3
fig-000116,Minifig from 6570-1,7
fig-000117,Minifig from 8803-7,4
fig-000118,Minifig from 6519-1,6
fig-000119,Spaceman (23318 Visor),5
fig-000120,"Santa, Plain Yellow, Black Hips",5
fig-000121,Minifig from 9707-1,4
fig-000122,Legolas Greenleaf,4
fig-000123,Snap Lockitt,4
fig-000124,"Chewbacca, Reddish Brown",3
fig-000125,Worriz in Fire Chi Outfit,4
fig-000126,Minifig from 6616-1,5
fig-000127,Minifig from 6532-1,4
fig-000128,Minifig from 6641-1,4
fig-000129,Director,4
fig-000130,Minifig from 40195-1,4
fig-000131,Marge Simpson (CMF),4
fig-000132,Monster with Black Helmet,4
fig-000133,Minifig from 6503-1,5
fig-000134,Minifig from 670-1,5
fig-000135,Minifig from 6537-1,6
fig-000136,Man,0
fig-000137,Soldier (Imperial Soldier) - Bicorne Hat,5
fig-000138,"Axel, Trans-Neon Green Visor",5
fig-000139,Minifig from 6186-1,4
fig-000140,Minifig from 7630-1,4
fig-000141,Minifig from 30350-1,7
fig-000142,AT-AT Driver with Light Flesh Head,4
fig-000143,Gorzan with Flat Silver Shoulder Armor,6
fig-000144,Luke Skywalker in Tatooine Outfit with White Legs and Smile,4
fig-000145,Bard the Bowman,4
fig-000146,Minifig from 1991-1,5
fig-000147,Jor-El,5
fig-000148,Minifig from 4584-1,5
fig-000149,Jay ZX with Shoulder Armour,5
